bag_size,num_features,num_models,fold,accuracy_score
0.7,0.8,5,5,0.870625
0.7,0.8,10,1,0.878125
0.7,0.8,10,2,0.878125
0.7,0.8,10,3,0.87125
0.7,0.8,10,4,0.869375
0.7,0.8,10,5,0.8825
0.7,0.8,20,1,0.886875
0.7,0.8,20,2,0.879375
0.7,0.8,20,3,0.8725
0.7,0.8,20,4,0.869375
0.7,0.8,20,5,0.8775
0.7,0.8,50,1,0.883125
0.7,0.8,50,2,0.88
0.7,0.8,50,3,0.87625
0.7,0.8,50,4,0.870625
0.7,0.8,50,5,0.880625
0.7,0.8,100,1,0.883125
0.7,0.8,100,2,0.879375
0.7,0.8,100,3,0.874375
0.7,0.8,100,4,0.87125
0.7,0.8,100,5,0.88
0.8,0.4,5,1,0.83375
0.8,0.4,5,2,0.82125
0.8,0.4,5,3,0.82875
0.8,0.4,5,4,0.833125
0.8,0.4,5,5,0.83875
0.8,0.4,10,1,0.86375
0.8,0.4,10,2,0.849375
0.8,0.4,10,3,0.8525
0.8,0.4,10,4,0.854375
0.8,0.4,10,5,0.84
0.8,0.4,20,1,0.871875
0.8,0.4,20,2,0.873125
0.8,0.4,20,3,0.86375
0.8,0.4,20,4,0.864375
0.8,0.4,20,5,0.881875
0.8,0.4,50,1,0.874375
0.8,0.4,50,2,0.87125
0.8,0.4,50,3,0.865625
0.8,0.4,50,4,0.865625
0.8,0.4,50,5,0.871875
0.8,0.4,100,1,0.8775
0.8,0.4,100,2,0.869375
0.8,0.4,100,3,0.8675
0.8,0.4,100,4,0.863125
0.8,0.4,100,5,0.88125
0.8,0.5,5,1,0.863125
0.8,0.5,5,2,0.860625
0.8,0.5,5,3,0.845
0.8,0.5,5,4,0.855
0.8,0.5,5,5,0.861875
0.8,0.5,10,1,0.86375
0.8,0.5,10,2,0.8525
0.8,0.5,10,3,0.839375
0.8,0.5,10,4,0.84625
0.8,0.5,10,5,0.850625
0.8,0.5,20,1,0.8725
0.8,0.5,20,2,0.87125
0.8,0.5,20,3,0.86125
0.8,0.5,20,4,0.866875
0.8,0.5,20,5,0.86875
0.8,0.5,50,1,0.875625
0.8,0.5,50,2,0.87375
0.8,0.5,50,3,0.859375
0.8,0.5,50,4,0.8625
0.8,0.5,50,5,0.8675
0.8,0.5,100,1,0.873125
0.8,0.5,100,2,0.869375
0.8,0.5,100,3,0.866875
0.8,0.5,100,4,0.863125
0.8,0.5,100,5,0.8775
0.8,0.6,5,1,0.864375
0.8,0.6,5,2,0.860625
0.8,0.6,5,3,0.845
0.8,0.6,5,4,0.85125
0.8,0.6,5,5,0.85375
0.8,0.6,10,1,0.859375
0.8,0.6,10,2,0.855625
0.8,0.6,10,3,0.840625
0.8,0.6,10,4,0.843125
0.8,0.6,10,5,0.84375
0.8,0.6,20,1,0.875625
0.8,0.6,20,2,0.8675
0.8,0.6,20,3,0.85375
0.8,0.6,20,4,0.85625
0.8,0.6,20,5,0.85625
0.8,0.6,50,1,0.871875
0.8,0.6,50,2,0.8725
0.8,0.6,50,3,0.858125
0.8,0.6,50,4,0.856875
0.8,0.6,50,5,0.865
0.8,0.6,100,1,0.8775
0.8,0.6,100,2,0.87625
0.8,0.6,100,3,0.87125
0.8,0.6,100,4,0.864375
0.8,0.6,100,5,0.87375
0.8,0.7,5,1,0.864375
0.8,0.7,5,2,0.860625
0.8,0.7,5,3,0.845
0.8,0.7,5,4,0.85125
0.8,0.7,5,5,0.85375
0.8,0.7,10,1,0.859375
0.8,0.7,10,2,0.855625
0.8,0.7,10,3,0.840625
0.8,0.7,10,4,0.843125
0.8,0.7,10,5,0.84375
0.8,0.7,20,1,0.875625
0.8,0.7,20,2,0.8675
0.8,0.7,20,3,0.85375
0.8,0.7,20,4,0.85625
0.8,0.7,20,5,0.85625
0.8,0.7,50,1,0.871875
0.8,0.7,50,2,0.8725
0.8,0.7,50,3,0.858125
0.8,0.7,50,4,0.856875
0.8,0.7,50,5,0.865
0.8,0.7,100,1,0.8775
0.8,0.7,100,2,0.87625
0.8,0.7,100,3,0.87125
0.8,0.7,100,4,0.864375
0.8,0.7,100,5,0.87375
0.8,0.8,5,1,0.87625
0.8,0.8,5,2,0.873125
0.8,0.8,5,3,0.8725
0.8,0.8,5,4,0.87125
0.8,0.8,5,5,0.8825
0.8,0.8,10,1,0.88125
0.8,0.8,10,2,0.87375
0.8,0.8,10,3,0.871875
0.8,0.8,10,4,0.873125
0.8,0.8,10,5,0.875625
0.8,0.8,20,1,0.880625
0.8,0.8,20,2,0.874375
0.8,0.8,20,3,0.87625
0.8,0.8,20,4,0.875
0.8,0.8,20,5,0.878125
0.8,0.8,50,1,0.88125
0.8,0.8,50,2,0.875
0.8,0.8,50,3,0.875625
0.8,0.8,50,4,0.866875
0.8,0.8,50,5,0.879375
0.8,0.8,100,1,0.88
0.8,0.8,100,2,0.876875
0.8,0.8,100,3,0.874375
0.8,0.8,100,4,0.869375
0.8,0.8,100,5,0.880625
