bag_size,num_features,num_models,fold,accuracy_score
0.7,0.6,20,5,0.95625
0.7,0.6,50,1,0.96125
0.7,0.6,50,2,0.9625
0.7,0.6,50,3,0.9575
0.7,0.6,50,4,0.958125
0.7,0.6,50,5,0.959375
0.7,0.6,100,1,0.963125
0.7,0.6,100,2,0.963125
0.7,0.6,100,3,0.96
0.7,0.6,100,4,0.954375
0.7,0.6,100,5,0.96
0.7,0.7,5,1,0.910625
0.7,0.7,5,2,0.91375
0.7,0.7,5,3,0.89625
0.7,0.7,5,4,0.915
0.7,0.7,5,5,0.916875
0.7,0.7,10,1,0.94875
0.7,0.7,10,2,0.94625
0.7,0.7,10,3,0.94125
0.7,0.7,10,4,0.941875
0.7,0.7,10,5,0.94625
0.7,0.7,20,1,0.956875
0.7,0.7,20,2,0.95375
0.7,0.7,20,3,0.95
0.7,0.7,20,4,0.95125
0.7,0.7,20,5,0.95625
0.7,0.7,50,1,0.96125
0.7,0.7,50,2,0.9625
0.7,0.7,50,3,0.9575
0.7,0.7,50,4,0.958125
0.7,0.7,50,5,0.959375
0.7,0.7,100,1,0.963125
0.7,0.7,100,2,0.963125
0.7,0.7,100,3,0.96
0.7,0.7,100,4,0.954375
0.7,0.7,100,5,0.96
0.7,0.8,5,1,0.960625
0.7,0.8,5,2,0.950625
0.7,0.8,5,3,0.9625
0.7,0.8,5,4,0.96375
0.7,0.8,5,5,0.963125
0.7,0.8,10,1,0.966875
0.7,0.8,10,2,0.96375
0.7,0.8,10,3,0.965
0.7,0.8,10,4,0.963125
0.7,0.8,10,5,0.96375
0.7,0.8,20,1,0.965625
0.7,0.8,20,2,0.96625
0.7,0.8,20,3,0.96375
0.7,0.8,20,4,0.965
0.7,0.8,20,5,0.9625
0.7,0.8,50,1,0.968125
0.7,0.8,50,2,0.97
0.7,0.8,50,3,0.96625
0.7,0.8,50,4,0.968125
0.7,0.8,50,5,0.9675
0.7,0.8,100,1,0.97
0.7,0.8,100,2,0.97125
0.7,0.8,100,3,0.965625
0.7,0.8,100,4,0.96625
0.7,0.8,100,5,0.964375
0.8,0.4,5,1,0.75125
0.8,0.4,5,2,0.8325
0.8,0.4,5,3,0.81875
0.8,0.4,5,4,0.825625
0.8,0.4,5,5,0.819375
0.8,0.4,10,1,0.71
0.8,0.4,10,2,0.838125
0.8,0.4,10,3,0.838125
0.8,0.4,10,4,0.796875
0.8,0.4,10,5,0.86375
0.8,0.4,20,1,0.82875
0.8,0.4,20,2,0.874375
0.8,0.4,20,3,0.8925
0.8,0.4,20,4,0.90375
0.8,0.4,20,5,0.909375
0.8,0.4,50,1,0.8925
0.8,0.4,50,2,0.89375
0.8,0.4,50,3,0.8925
0.8,0.4,50,4,0.9
0.8,0.4,50,5,0.905
0.8,0.4,100,1,0.89625
0.8,0.4,100,2,0.883125
0.8,0.4,100,3,0.895625
0.8,0.4,100,4,0.894375
0.8,0.4,100,5,0.911875
0.8,0.5,5,1,0.935625
0.8,0.5,5,2,0.929375
0.8,0.5,5,3,0.883125
0.8,0.5,5,4,0.913125
0.8,0.5,5,5,0.9175
0.8,0.5,10,1,0.914375
0.8,0.5,10,2,0.915625
0.8,0.5,10,3,0.880625
0.8,0.5,10,4,0.8875
0.8,0.5,10,5,0.9075
0.8,0.5,20,1,0.935
0.8,0.5,20,2,0.91375
0.8,0.5,20,3,0.908125
0.8,0.5,20,4,0.919375
0.8,0.5,20,5,0.925
0.8,0.5,50,1,0.93125
0.8,0.5,50,2,0.916875
0.8,0.5,50,3,0.913125
0.8,0.5,50,4,0.926875
0.8,0.5,50,5,0.93
0.8,0.5,100,1,0.939375
0.8,0.5,100,2,0.924375
0.8,0.5,100,3,0.924375
0.8,0.5,100,4,0.935
0.8,0.5,100,5,0.93625
0.8,0.6,5,1,0.93625
0.8,0.6,5,2,0.935625
0.8,0.6,5,3,0.929375
0.8,0.6,5,4,0.929375
0.8,0.6,5,5,0.923125
0.8,0.6,10,1,0.9475
0.8,0.6,10,2,0.93625
0.8,0.6,10,3,0.93625
0.8,0.6,10,4,0.93625
0.8,0.6,10,5,0.93375
0.8,0.6,20,1,0.95125
0.8,0.6,20,2,0.940625
0.8,0.6,20,3,0.944375
0.8,0.6,20,4,0.938125
0.8,0.6,20,5,0.943125
0.8,0.6,50,1,0.941875
0.8,0.6,50,2,0.94875
0.8,0.6,50,3,0.940625
0.8,0.6,50,4,0.939375
0.8,0.6,50,5,0.949375
0.8,0.6,100,1,0.956875
0.8,0.6,100,2,0.95375
0.8,0.6,100,3,0.949375
0.8,0.6,100,4,0.948125
0.8,0.6,100,5,0.958125
0.8,0.7,5,1,0.93625
0.8,0.7,5,2,0.935625
0.8,0.7,5,3,0.929375
0.8,0.7,5,4,0.929375
0.8,0.7,5,5,0.923125
0.8,0.7,10,1,0.9475
0.8,0.7,10,2,0.93625
0.8,0.7,10,3,0.93625
0.8,0.7,10,4,0.93625
0.8,0.7,10,5,0.93375
0.8,0.7,20,1,0.95125
0.8,0.7,20,2,0.940625
0.8,0.7,20,3,0.944375
0.8,0.7,20,4,0.938125
0.8,0.7,20,5,0.943125
0.8,0.7,50,1,0.941875
0.8,0.7,50,2,0.94875
0.8,0.7,50,3,0.940625
0.8,0.7,50,4,0.939375
0.8,0.7,50,5,0.949375
0.8,0.7,100,1,0.956875
0.8,0.7,100,2,0.95375
0.8,0.7,100,3,0.949375
0.8,0.7,100,4,0.948125
0.8,0.7,100,5,0.958125
0.8,0.8,5,1,0.963125
0.8,0.8,5,2,0.963125
0.8,0.8,5,3,0.945625
0.8,0.8,5,4,0.949375
0.8,0.8,5,5,0.956875
0.8,0.8,10,1,0.966875
0.8,0.8,10,2,0.964375
0.8,0.8,10,3,0.958125
0.8,0.8,10,4,0.958125
0.8,0.8,10,5,0.96125
0.8,0.8,20,1,0.965625
0.8,0.8,20,2,0.96875
0.8,0.8,20,3,0.958125
0.8,0.8,20,4,0.95875
0.8,0.8,20,5,0.966875
0.8,0.8,50,1,0.968125
0.8,0.8,50,2,0.965625
0.8,0.8,50,3,0.956875
0.8,0.8,50,4,0.960625
0.8,0.8,50,5,0.9625
0.8,0.8,100,1,0.96875
0.8,0.8,100,2,0.96625
0.8,0.8,100,3,0.96
0.8,0.8,100,4,0.963125
0.8,0.8,100,5,0.966875
